Vehicle,Origin,Manufacturer,Mass to … (kg),,,"Launches
 (+ suborbital)",Date of flight,
PSLV-G,India,ISRO,"3,200[78]","1,050","1,600 to SSO",12[79],1993,2016
PSLV-CA,India,ISRO,"2,800[78]",,"1,100 to SSO",11[79],2007,2015
PSLV-XL,India,ISRO,"3,800[78]","1,300","1,750 to SSO
 1,350 to TMI",19[79],2008,2018
Rokot,Russia,Khrunichev,"1,950[80]",,"1,200 to SSO",27[80],1990,2017
Safir,Iran,Iranian Space Agency,50[81],,,4[82][83],2008,2015
Shavit,Israel,IAI,300[84],,,10[85],1988,2016
Simorgh,Iran,Iranian Space Agency,100–350[86],,,1 (+1)[87],2016,2017
Space Launch System Block 1,United States,"NASA / Boeing (core)
 Orbital ATK (SRBs)","70,000[88]",,"28,000 to escape",0,2019[89],
SLS Block 1B,United States,"NASA / Boeing
 Orbital ATK","105,000[90]",,"39,100 to TLI
 31,700 to TMI",0,2022,
"SLS Block 2
 with EUS",United States,"NASA / Boeing
 Orbital ATK","130,000[90]",,"50,000 to TLI
 45,000 to TMI",0,2025[91],
Soyuz-FG,Russia,TsSKB-Progress,"6,900[92]",,,62[93][94],2001,2017
Soyuz-2.1a,Russia,TsSKB-Progress,"7,020 from Baikonur[95]",,,27 (+1) [96][97][94],2004[e],2017
Soyuz-2.1b,Russia,TsSKB-Progress,"8,200 from Baikonur[95]","2,400[98]",,25[99][94],2006,2017
Soyuz ST-A,"Russia
  Europe","TsSKB-Progress
 Arianespace","7,800 from Kourou[100]","2,810 with Fregat[101]",,5[94],2011,2017
Soyuz ST-B,"Russia
  Europe","TsSKB-Progress
 Arianespace","9,000 from Kourou[102]","3,250 with Fregat-MT[101]",,12[94],2011,2017
Soyuz-2.1v,Russia,TsSKB-Progress,"2,800 from Plesetsk[103]",,,3[104],2013,2017
Soyuz-5,Russia,"TsSKB-Progress
 RSC Energia","17,000[105]",,,0,2022[105],
Soyuz-5 Super Heavy,Russia,"TsSKB-Progress
 RSC Energia","88,000 in penta-core Energia-5 configuration[106] 110,000-160,000 with further upgrades",,,0,2028[107],
SS-520,Japan,IHI Aerospace,4[108],,,2,2017[109],2018[110]
Strela,Russia,Khrunichev,"1,400[111]",,,3[112],2003,2014
Tronador II,Argentina,CONAE,200,,,0,2020,
Unha,North Korea,KCST,100[113],,,4[114],2009,2016
ULV,India,ISRO,"15,000[115]","6,000",,0,2021[116],
Vector-R,United States,Vector Space Systems,64[117],,,0 (+2),2018[117],
Vector-H,United States,Vector Space Systems,105[118],,,0,2019,
Vega,Europe,ESA / ASI,"1,500",,"1,430 to polar[119] 1,330 to SSO",11[120],2012,2017
Vega C,Europe,ESA / ASI,"2,300 [121]",,"2,200 to polar [122]",0,2019,
Vega E,Europe,ESA / ASI,"3,000[123]",,,0,2024,
"Vulcan 561
 with ACES",United States,ULA,,"15,100[124]","7,300 to GSO[124]",0,2019,
Vulcan Heavy,United States,ULA,,"23,000[124]",,0,,
Yun Feng,Taiwan,NCSIST,200[125],,,0,,
Zenit-3F,Ukraine,Yuzhnoye,,,"1,740 to GEO[126]",4[127],2011,2017
Zenit-3SL,Ukraine,"Yuzhmash[f]
 RSC Energia","7,000[127]","6,160",,36[127],1999,2014
Zenit-3SLB / 3M,Ukraine,"Yuzhmash[g]
 RSC Energia",,"3,750[127]",,6[127],2008,2013
